=== MESSAGE QUEUE PROCESSING LOG ===

[2026-04-05 10:21:29.961] Queue: analytics-queue | Message ID: MSG-408653 | Status: PROCESSED | Size: 163 KB | Processing Time: 2189 ms
[2026-04-05 10:21:29.971] Queue: exports-queue | Message ID: MSG-658746 | Status: FAILED | Size: 242 KB | Processing Time: 4965 ms
[2026-04-05 10:21:29.971] Queue: reports-queue | Message ID: MSG-326524 | Status: PENDING | Size: 252 KB | Processing Time: 557 ms
[2026-04-05 10:21:29.971] Queue: reports-queue | Message ID: MSG-631249 | Status: FAILED | Size: 315 KB | Processing Time: 4659 ms
[2026-04-05 10:21:29.971] Queue: analytics-queue | Message ID: MSG-450569 | Status: PROCESSED | Size: 205 KB | Processing Time: 3536 ms
[2026-04-05 10:21:29.971] Queue: analytics-queue | Message ID: MSG-380582 | Status: PENDING | Size: 149 KB | Processing Time: 1057 ms
[2026-04-05 10:21:29.971] Queue: reports-queue | Message ID: MSG-791018 | Status: PROCESSED | Size: 69 KB | Processing Time: 3663 ms
[2026-04-05 10:21:29.971] Queue: notifications-queue | Message ID: MSG-702308 | Status: PENDING | Size: 58 KB | Processing Time: 2907 ms
[2026-04-05 10:21:29.971] Queue: orders-queue | Message ID: MSG-629792 | Status: PENDING | Size: 246 KB | Processing Time: 4197 ms
[2026-04-05 10:21:29.971] Queue: orders-queue | Message ID: MSG-642264 | Status: FAILED | Size: 339 KB | Processing Time: 2652 ms
[2026-04-05 10:21:29.972] Queue: exports-queue | Message ID: MSG-359790 | Status: FAILED | Size: 295 KB | Processing Time: 562 ms
[2026-04-05 10:21:29.972] Queue: reports-queue | Message ID: MSG-997459 | Status: PENDING | Size: 34 KB | Processing Time: 1926 ms
[2026-04-05 10:21:29.972] Queue: reports-queue | Message ID: MSG-574996 | Status: PENDING | Size: 324 KB | Processing Time: 1714 ms
[2026-04-05 10:21:29.972] Queue: reports-queue | Message ID: MSG-203604 | Status: FAILED | Size: 333 KB | Processing Time: 1058 ms
[2026-04-05 10:21:29.972] Queue: notifications-queue | Message ID: MSG-750350 | Status: PROCESSED | Size: 352 KB | Processing Time: 730 ms
[2026-04-05 10:21:29.972] Queue: analytics-queue | Message ID: MSG-579310 | Status: PROCESSED | Size: 217 KB | Processing Time: 4350 ms
[2026-04-05 10:21:29.972] Queue: reports-queue | Message ID: MSG-123913 | Status: RETRY | Size: 53 KB | Processing Time: 3512 ms
[2026-04-05 10:21:29.972] Queue: notifications-queue | Message ID: MSG-742232 | Status: PENDING | Size: 199 KB | Processing Time: 4302 ms
[2026-04-05 10:21:29.972] Queue: reports-queue | Message ID: MSG-517821 | Status: PROCESSED | Size: 57 KB | Processing Time: 1561 ms
[2026-04-05 10:21:29.972] Queue: analytics-queue | Message ID: MSG-598363 | Status: FAILED | Size: 149 KB | Processing Time: 1144 ms
[2026-04-05 10:21:29.972] Queue: analytics-queue | Message ID: MSG-606208 | Status: PROCESSED | Size: 297 KB | Processing Time: 3701 ms
[2026-04-05 10:21:29.972] Queue: orders-queue | Message ID: MSG-887058 | Status: RETRY | Size: 490 KB | Processing Time: 3756 ms
[2026-04-05 10:21:29.972] Queue: notifications-queue | Message ID: MSG-393284 | Status: PENDING | Size: 4 KB | Processing Time: 3884 ms
[2026-04-05 10:21:29.972] Queue: analytics-queue | Message ID: MSG-664165 | Status: RETRY | Size: 422 KB | Processing Time: 1830 ms
[2026-04-05 10:21:29.972] Queue: exports-queue | Message ID: MSG-605837 | Status: FAILED | Size: 132 KB | Processing Time: 3539 ms
[2026-04-05 10:21:29.972] Queue: reports-queue | Message ID: MSG-737976 | Status: FAILED | Size: 451 KB | Processing Time: 3919 ms
[2026-04-05 10:21:29.972] Queue: exports-queue | Message ID: MSG-981418 | Status: FAILED | Size: 49 KB | Processing Time: 3926 ms
[2026-04-05 10:21:29.972] Queue: reports-queue | Message ID: MSG-593227 | Status: PENDING | Size: 137 KB | Processing Time: 3286 ms
[2026-04-05 10:21:29.972] Queue: notifications-queue | Message ID: MSG-750660 | Status: PENDING | Size: 422 KB | Processing Time: 221 ms
[2026-04-05 10:21:29.972] Queue: notifications-queue | Message ID: MSG-965486 | Status: PENDING | Size: 103 KB | Processing Time: 1147 ms
[2026-04-05 10:21:29.972] Queue: exports-queue | Message ID: MSG-430534 | Status: PROCESSED | Size: 56 KB | Processing Time: 2677 ms
[2026-04-05 10:21:29.973] Queue: analytics-queue | Message ID: MSG-607883 | Status: PENDING | Size: 127 KB | Processing Time: 4216 ms
[2026-04-05 10:21:29.973] Queue: notifications-queue | Message ID: MSG-822998 | Status: RETRY | Size: 174 KB | Processing Time: 4666 ms
[2026-04-05 10:21:29.973] Queue: analytics-queue | Message ID: MSG-946512 | Status: FAILED | Size: 112 KB | Processing Time: 3733 ms
[2026-04-05 10:21:29.973] Queue: analytics-queue | Message ID: MSG-643309 | Status: RETRY | Size: 410 KB | Processing Time: 1462 ms
[2026-04-05 10:21:29.973] Queue: reports-queue | Message ID: MSG-909298 | Status: RETRY | Size: 428 KB | Processing Time: 1565 ms
[2026-04-05 10:21:29.973] Queue: exports-queue | Message ID: MSG-851700 | Status: PENDING | Size: 138 KB | Processing Time: 2361 ms
[2026-04-05 10:21:29.973] Queue: orders-queue | Message ID: MSG-839001 | Status: RETRY | Size: 16 KB | Processing Time: 1376 ms
[2026-04-05 10:21:29.973] Queue: notifications-queue | Message ID: MSG-559344 | Status: RETRY | Size: 216 KB | Processing Time: 1906 ms
[2026-04-05 10:21:29.973] Queue: notifications-queue | Message ID: MSG-359717 | Status: FAILED | Size: 264 KB | Processing Time: 1309 ms
[2026-04-05 10:21:29.973] Queue: reports-queue | Message ID: MSG-159902 | Status: RETRY | Size: 256 KB | Processing Time: 464 ms
[2026-04-05 10:21:29.973] Queue: notifications-queue | Message ID: MSG-587230 | Status: RETRY | Size: 306 KB | Processing Time: 3420 ms
[2026-04-05 10:21:29.973] Queue: reports-queue | Message ID: MSG-836858 | Status: RETRY | Size: 102 KB | Processing Time: 971 ms
[2026-04-05 10:21:29.973] Queue: analytics-queue | Message ID: MSG-139823 | Status: FAILED | Size: 352 KB | Processing Time: 4412 ms
[2026-04-05 10:21:29.973] Queue: exports-queue | Message ID: MSG-312407 | Status: PENDING | Size: 484 KB | Processing Time: 71 ms
[2026-04-05 10:21:29.973] Queue: orders-queue | Message ID: MSG-136587 | Status: RETRY | Size: 346 KB | Processing Time: 2762 ms
[2026-04-05 10:21:29.973] Queue: analytics-queue | Message ID: MSG-213061 | Status: FAILED | Size: 192 KB | Processing Time: 4266 ms
[2026-04-05 10:21:29.973] Queue: orders-queue | Message ID: MSG-757535 | Status: PROCESSED | Size: 104 KB | Processing Time: 1745 ms
[2026-04-05 10:21:29.973] Queue: reports-queue | Message ID: MSG-329594 | Status: FAILED | Size: 236 KB | Processing Time: 641 ms
[2026-04-05 10:21:29.973] Queue: orders-queue | Message ID: MSG-595689 | Status: PENDING | Size: 252 KB | Processing Time: 3073 ms
[2026-04-05 10:21:29.973] Queue: reports-queue | Message ID: MSG-465686 | Status: PROCESSED | Size: 374 KB | Processing Time: 2751 ms
[2026-04-05 10:21:29.973] Queue: notifications-queue | Message ID: MSG-824811 | Status: PROCESSED | Size: 265 KB | Processing Time: 1974 ms
[2026-04-05 10:21:29.974] Queue: orders-queue | Message ID: MSG-827699 | Status: PROCESSED | Size: 483 KB | Processing Time: 2148 ms
[2026-04-05 10:21:29.974] Queue: orders-queue | Message ID: MSG-362628 | Status: PENDING | Size: 25 KB | Processing Time: 4464 ms
[2026-04-05 10:21:29.974] Queue: reports-queue | Message ID: MSG-702153 | Status: PENDING | Size: 428 KB | Processing Time: 3614 ms
[2026-04-05 10:21:29.974] Queue: notifications-queue | Message ID: MSG-279544 | Status: PENDING | Size: 80 KB | Processing Time: 2618 ms
[2026-04-05 10:21:29.974] Queue: exports-queue | Message ID: MSG-756844 | Status: RETRY | Size: 229 KB | Processing Time: 886 ms
[2026-04-05 10:21:29.974] Queue: exports-queue | Message ID: MSG-967826 | Status: PENDING | Size: 22 KB | Processing Time: 4782 ms
[2026-04-05 10:21:29.974] Queue: notifications-queue | Message ID: MSG-736717 | Status: PENDING | Size: 202 KB | Processing Time: 218 ms
[2026-04-05 10:21:29.974] Queue: exports-queue | Message ID: MSG-665038 | Status: RETRY | Size: 419 KB | Processing Time: 2407 ms
[2026-04-05 10:21:29.974] Queue: reports-queue | Message ID: MSG-522920 | Status: FAILED | Size: 372 KB | Processing Time: 502 ms
[2026-04-05 10:21:29.974] Queue: analytics-queue | Message ID: MSG-544315 | Status: PENDING | Size: 155 KB | Processing Time: 1677 ms
[2026-04-05 10:21:29.974] Queue: reports-queue | Message ID: MSG-225393 | Status: PROCESSED | Size: 427 KB | Processing Time: 837 ms
[2026-04-05 10:21:29.974] Queue: reports-queue | Message ID: MSG-609841 | Status: PROCESSED | Size: 9 KB | Processing Time: 900 ms
[2026-04-05 10:21:29.974] Queue: notifications-queue | Message ID: MSG-361327 | Status: RETRY | Size: 254 KB | Processing Time: 2243 ms
[2026-04-05 10:21:29.974] Queue: analytics-queue | Message ID: MSG-128763 | Status: RETRY | Size: 270 KB | Processing Time: 2292 ms
[2026-04-05 10:21:29.974] Queue: notifications-queue | Message ID: MSG-763949 | Status: PENDING | Size: 381 KB | Processing Time: 1847 ms
[2026-04-05 10:21:29.974] Queue: exports-queue | Message ID: MSG-848431 | Status: PENDING | Size: 455 KB | Processing Time: 3964 ms
[2026-04-05 10:21:29.974] Queue: orders-queue | Message ID: MSG-144339 | Status: PENDING | Size: 279 KB | Processing Time: 1232 ms
[2026-04-05 10:21:29.974] Queue: reports-queue | Message ID: MSG-986726 | Status: FAILED | Size: 192 KB | Processing Time: 1879 ms
[2026-04-05 10:21:29.974] Queue: orders-queue | Message ID: MSG-403171 | Status: PENDING | Size: 325 KB | Processing Time: 48 ms
[2026-04-05 10:21:29.974] Queue: exports-queue | Message ID: MSG-651266 | Status: FAILED | Size: 82 KB | Processing Time: 2087 ms
[2026-04-05 10:21:29.975] Queue: analytics-queue | Message ID: MSG-211998 | Status: RETRY | Size: 256 KB | Processing Time: 1427 ms
[2026-04-05 10:21:29.975] Queue: reports-queue | Message ID: MSG-123048 | Status: PROCESSED | Size: 144 KB | Processing Time: 924 ms
[2026-04-05 10:21:29.975] Queue: analytics-queue | Message ID: MSG-747602 | Status: RETRY | Size: 333 KB | Processing Time: 3728 ms
[2026-04-05 10:21:29.975] Queue: orders-queue | Message ID: MSG-651414 | Status: PENDING | Size: 347 KB | Processing Time: 2290 ms
[2026-04-05 10:21:29.975] Queue: analytics-queue | Message ID: MSG-981607 | Status: FAILED | Size: 159 KB | Processing Time: 2523 ms
[2026-04-05 10:21:29.975] Queue: reports-queue | Message ID: MSG-902137 | Status: PENDING | Size: 421 KB | Processing Time: 2658 ms
[2026-04-05 10:21:29.975] Queue: reports-queue | Message ID: MSG-513150 | Status: RETRY | Size: 453 KB | Processing Time: 934 ms
[2026-04-05 10:21:29.975] Queue: notifications-queue | Message ID: MSG-724557 | Status: PENDING | Size: 119 KB | Processing Time: 4219 ms
[2026-04-05 10:21:29.975] Queue: notifications-queue | Message ID: MSG-943793 | Status: PENDING | Size: 399 KB | Processing Time: 2725 ms
[2026-04-05 10:21:29.975] Queue: analytics-queue | Message ID: MSG-114407 | Status: PENDING | Size: 213 KB | Processing Time: 1815 ms
[2026-04-05 10:21:29.975] Queue: analytics-queue | Message ID: MSG-251143 | Status: PROCESSED | Size: 397 KB | Processing Time: 4145 ms
[2026-04-05 10:21:29.975] Queue: analytics-queue | Message ID: MSG-251613 | Status: PROCESSED | Size: 472 KB | Processing Time: 2043 ms
[2026-04-05 10:21:29.975] Queue: exports-queue | Message ID: MSG-853041 | Status: PROCESSED | Size: 245 KB | Processing Time: 4346 ms
[2026-04-05 10:21:29.975] Queue: reports-queue | Message ID: MSG-377519 | Status: RETRY | Size: 64 KB | Processing Time: 816 ms
[2026-04-05 10:21:29.975] Queue: analytics-queue | Message ID: MSG-613999 | Status: FAILED | Size: 24 KB | Processing Time: 3356 ms
[2026-04-05 10:21:29.975] Queue: reports-queue | Message ID: MSG-832531 | Status: PENDING | Size: 205 KB | Processing Time: 3132 ms
[2026-04-05 10:21:29.975] Queue: reports-queue | Message ID: MSG-140889 | Status: RETRY | Size: 8 KB | Processing Time: 2301 ms
[2026-04-05 10:21:29.975] Queue: reports-queue | Message ID: MSG-501514 | Status: FAILED | Size: 354 KB | Processing Time: 133 ms
[2026-04-05 10:21:29.975] Queue: orders-queue | Message ID: MSG-544937 | Status: RETRY | Size: 117 KB | Processing Time: 2532 ms
[2026-04-05 10:21:29.975] Queue: notifications-queue | Message ID: MSG-382067 | Status: PROCESSED | Size: 269 KB | Processing Time: 2806 ms
[2026-04-05 10:21:29.976] Queue: exports-queue | Message ID: MSG-590800 | Status: FAILED | Size: 423 KB | Processing Time: 3091 ms
[2026-04-05 10:21:29.976] Queue: analytics-queue | Message ID: MSG-241242 | Status: PENDING | Size: 266 KB | Processing Time: 2944 ms
[2026-04-05 10:21:29.976] Queue: analytics-queue | Message ID: MSG-846448 | Status: PROCESSED | Size: 240 KB | Processing Time: 1444 ms
[2026-04-05 10:21:29.976] Queue: reports-queue | Message ID: MSG-911974 | Status: RETRY | Size: 159 KB | Processing Time: 2711 ms
[2026-04-05 10:21:29.976] Queue: analytics-queue | Message ID: MSG-392685 | Status: PENDING | Size: 65 KB | Processing Time: 2232 ms
[2026-04-05 10:21:29.976] Queue: exports-queue | Message ID: MSG-520535 | Status: PROCESSED | Size: 115 KB | Processing Time: 2017 ms
[2026-04-05 10:21:29.976] Queue: notifications-queue | Message ID: MSG-609794 | Status: PENDING | Size: 303 KB | Processing Time: 4550 ms
[2026-04-05 10:21:29.976] Queue: analytics-queue | Message ID: MSG-869699 | Status: PROCESSED | Size: 464 KB | Processing Time: 2844 ms
[2026-04-05 10:21:29.976] Queue: analytics-queue | Message ID: MSG-822766 | Status: PROCESSED | Size: 451 KB | Processing Time: 2088 ms
[2026-04-05 10:21:29.976] Queue: exports-queue | Message ID: MSG-239713 | Status: FAILED | Size: 216 KB | Processing Time: 1707 ms
[2026-04-05 10:21:29.976] Queue: notifications-queue | Message ID: MSG-819709 | Status: FAILED | Size: 78 KB | Processing Time: 1864 ms
[2026-04-05 10:21:29.976] Queue: analytics-queue | Message ID: MSG-584731 | Status: RETRY | Size: 72 KB | Processing Time: 2268 ms
[2026-04-05 10:21:29.976] Queue: orders-queue | Message ID: MSG-547096 | Status: PROCESSED | Size: 121 KB | Processing Time: 3732 ms
[2026-04-05 10:21:29.976] Queue: analytics-queue | Message ID: MSG-598188 | Status: PENDING | Size: 239 KB | Processing Time: 390 ms
[2026-04-05 10:21:29.976] Queue: exports-queue | Message ID: MSG-417990 | Status: PROCESSED | Size: 308 KB | Processing Time: 3571 ms
[2026-04-05 10:21:29.976] Queue: orders-queue | Message ID: MSG-749649 | Status: FAILED | Size: 319 KB | Processing Time: 3438 ms
[2026-04-05 10:21:29.976] Queue: reports-queue | Message ID: MSG-404412 | Status: PROCESSED | Size: 299 KB | Processing Time: 3644 ms
[2026-04-05 10:21:29.976] Queue: exports-queue | Message ID: MSG-627181 | Status: RETRY | Size: 474 KB | Processing Time: 3159 ms
[2026-04-05 10:21:29.976] Queue: analytics-queue | Message ID: MSG-966156 | Status: RETRY | Size: 379 KB | Processing Time: 4337 ms
[2026-04-05 10:21:29.976] Queue: reports-queue | Message ID: MSG-769780 | Status: PROCESSED | Size: 199 KB | Processing Time: 1076 ms
[2026-04-05 10:21:29.977] Queue: exports-queue | Message ID: MSG-494874 | Status: RETRY | Size: 414 KB | Processing Time: 3183 ms
[2026-04-05 10:21:29.977] Queue: exports-queue | Message ID: MSG-974436 | Status: PENDING | Size: 185 KB | Processing Time: 3058 ms
[2026-04-05 10:21:29.977] Queue: notifications-queue | Message ID: MSG-995083 | Status: RETRY | Size: 44 KB | Processing Time: 4224 ms
[2026-04-05 10:21:29.977] Queue: reports-queue | Message ID: MSG-373209 | Status: RETRY | Size: 393 KB | Processing Time: 2282 ms
[2026-04-05 10:21:29.977] Queue: orders-queue | Message ID: MSG-720322 | Status: PROCESSED | Size: 132 KB | Processing Time: 1762 ms
[2026-04-05 10:21:29.977] Queue: notifications-queue | Message ID: MSG-784008 | Status: RETRY | Size: 79 KB | Processing Time: 3526 ms
[2026-04-05 10:21:29.977] Queue: analytics-queue | Message ID: MSG-552904 | Status: RETRY | Size: 399 KB | Processing Time: 1833 ms
[2026-04-05 10:21:29.977] Queue: exports-queue | Message ID: MSG-377534 | Status: FAILED | Size: 70 KB | Processing Time: 4086 ms
[2026-04-05 10:21:29.977] Queue: orders-queue | Message ID: MSG-861550 | Status: RETRY | Size: 135 KB | Processing Time: 4923 ms
[2026-04-05 10:21:29.977] Queue: orders-queue | Message ID: MSG-558474 | Status: PROCESSED | Size: 419 KB | Processing Time: 62 ms
[2026-04-05 10:21:29.977] Queue: exports-queue | Message ID: MSG-822079 | Status: RETRY | Size: 443 KB | Processing Time: 915 ms
[2026-04-05 10:21:29.977] Queue: orders-queue | Message ID: MSG-644659 | Status: FAILED | Size: 226 KB | Processing Time: 4519 ms
[2026-04-05 10:21:29.977] Queue: exports-queue | Message ID: MSG-362171 | Status: PENDING | Size: 116 KB | Processing Time: 1497 ms
[2026-04-05 10:21:29.977] Queue: orders-queue | Message ID: MSG-705219 | Status: FAILED | Size: 342 KB | Processing Time: 903 ms
[2026-04-05 10:21:29.977] Queue: orders-queue | Message ID: MSG-661767 | Status: RETRY | Size: 341 KB | Processing Time: 2949 ms
[2026-04-05 10:21:29.977] Queue: reports-queue | Message ID: MSG-778065 | Status: FAILED | Size: 91 KB | Processing Time: 3136 ms
[2026-04-05 10:21:29.977] Queue: reports-queue | Message ID: MSG-541211 | Status: RETRY | Size: 172 KB | Processing Time: 1812 ms
[2026-04-05 10:21:29.977] Queue: reports-queue | Message ID: MSG-847555 | Status: FAILED | Size: 390 KB | Processing Time: 4690 ms
[2026-04-05 10:21:29.977] Queue: exports-queue | Message ID: MSG-380115 | Status: FAILED | Size: 390 KB | Processing Time: 1874 ms
[2026-04-05 10:21:29.979] Queue: exports-queue | Message ID: MSG-165974 | Status: RETRY | Size: 344 KB | Processing Time: 1598 ms
[2026-04-05 10:21:29.979] Queue: notifications-queue | Message ID: MSG-437804 | Status: FAILED | Size: 5 KB | Processing Time: 3479 ms
[2026-04-05 10:21:29.979] Queue: orders-queue | Message ID: MSG-128949 | Status: FAILED | Size: 387 KB | Processing Time: 570 ms
[2026-04-05 10:21:29.979] Queue: reports-queue | Message ID: MSG-984200 | Status: FAILED | Size: 369 KB | Processing Time: 3800 ms
[2026-04-05 10:21:29.979] Queue: reports-queue | Message ID: MSG-523390 | Status: RETRY | Size: 366 KB | Processing Time: 4620 ms
[2026-04-05 10:21:29.979] Queue: analytics-queue | Message ID: MSG-462281 | Status: FAILED | Size: 286 KB | Processing Time: 3347 ms
[2026-04-05 10:21:29.979] Queue: exports-queue | Message ID: MSG-343659 | Status: RETRY | Size: 311 KB | Processing Time: 2882 ms
[2026-04-05 10:21:29.979] Queue: analytics-queue | Message ID: MSG-945626 | Status: FAILED | Size: 32 KB | Processing Time: 3950 ms
[2026-04-05 10:21:29.979] Queue: exports-queue | Message ID: MSG-124390 | Status: RETRY | Size: 233 KB | Processing Time: 913 ms
[2026-04-05 10:21:29.979] Queue: orders-queue | Message ID: MSG-374908 | Status: RETRY | Size: 98 KB | Processing Time: 1154 ms
[2026-04-05 10:21:29.979] Queue: reports-queue | Message ID: MSG-319718 | Status: RETRY | Size: 162 KB | Processing Time: 2225 ms
[2026-04-05 10:21:29.979] Queue: analytics-queue | Message ID: MSG-761629 | Status: RETRY | Size: 227 KB | Processing Time: 882 ms
[2026-04-05 10:21:29.979] Queue: exports-queue | Message ID: MSG-966326 | Status: RETRY | Size: 156 KB | Processing Time: 2947 ms
[2026-04-05 10:21:29.979] Queue: orders-queue | Message ID: MSG-431799 | Status: PROCESSED | Size: 330 KB | Processing Time: 2410 ms
[2026-04-05 10:21:29.979] Queue: exports-queue | Message ID: MSG-800628 | Status: RETRY | Size: 100 KB | Processing Time: 565 ms
[2026-04-05 10:21:29.979] Queue: reports-queue | Message ID: MSG-980931 | Status: PENDING | Size: 434 KB | Processing Time: 4794 ms
[2026-04-05 10:21:29.979] Queue: exports-queue | Message ID: MSG-237237 | Status: FAILED | Size: 247 KB | Processing Time: 4984 ms
[2026-04-05 10:21:29.979] Queue: analytics-queue | Message ID: MSG-939752 | Status: PENDING | Size: 272 KB | Processing Time: 1857 ms
[2026-04-05 10:21:29.979] Queue: exports-queue | Message ID: MSG-204477 | Status: FAILED | Size: 208 KB | Processing Time: 2043 ms
[2026-04-05 10:21:29.979] Queue: reports-queue | Message ID: MSG-348101 | Status: PENDING | Size: 413 KB | Processing Time: 3196 ms
[2026-04-05 10:21:29.979] Queue: notifications-queue | Message ID: MSG-184709 | Status: PENDING | Size: 440 KB | Processing Time: 2271 ms
[2026-04-05 10:21:29.980] Queue: exports-queue | Message ID: MSG-734888 | Status: PENDING | Size: 82 KB | Processing Time: 853 ms
[2026-04-05 10:21:29.980] Queue: notifications-queue | Message ID: MSG-780249 | Status: FAILED | Size: 134 KB | Processing Time: 2373 ms
[2026-04-05 10:21:29.980] Queue: reports-queue | Message ID: MSG-794757 | Status: RETRY | Size: 338 KB | Processing Time: 4476 ms
[2026-04-05 10:21:29.980] Queue: reports-queue | Message ID: MSG-913178 | Status: PROCESSED | Size: 446 KB | Processing Time: 4036 ms
[2026-04-05 10:21:29.980] Queue: analytics-queue | Message ID: MSG-256085 | Status: FAILED | Size: 181 KB | Processing Time: 12 ms
[2026-04-05 10:21:29.980] Queue: orders-queue | Message ID: MSG-618095 | Status: PENDING | Size: 393 KB | Processing Time: 1910 ms
[2026-04-05 10:21:29.980] Queue: analytics-queue | Message ID: MSG-494635 | Status: RETRY | Size: 414 KB | Processing Time: 2887 ms
[2026-04-05 10:21:29.980] Queue: orders-queue | Message ID: MSG-763099 | Status: PENDING | Size: 146 KB | Processing Time: 3406 ms
[2026-04-05 10:21:29.980] Queue: exports-queue | Message ID: MSG-919778 | Status: PROCESSED | Size: 284 KB | Processing Time: 984 ms
[2026-04-05 10:21:29.980] Queue: exports-queue | Message ID: MSG-963978 | Status: FAILED | Size: 437 KB | Processing Time: 472 ms
[2026-04-05 10:21:29.980] Queue: reports-queue | Message ID: MSG-833645 | Status: PROCESSED | Size: 99 KB | Processing Time: 2181 ms
[2026-04-05 10:21:29.980] Queue: analytics-queue | Message ID: MSG-183226 | Status: PROCESSED | Size: 406 KB | Processing Time: 3981 ms
[2026-04-05 10:21:29.980] Queue: analytics-queue | Message ID: MSG-770339 | Status: PENDING | Size: 380 KB | Processing Time: 1395 ms
